user_id,char,key_code,hold_time,latency_time,flight_time,key_down_time,key_up_time,event_index,session_id,wpm
harshith,o,111,0.05925,0.16403,0.10452,332675.0115,332675.0707,33,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,g,103,0.04471,0.3343,0.27504,332675.3458,332675.3905,34,f59fcd73-fb2f-4d39-a39a-4ee1b2b2301d,57.96
harshith,t,116,0.06438,0,0,332697.0293,332697.0937,0,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,h,104,0.06402,0.22951,0.16513,332697.2588,332697.3228,1,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,e,101,0.05973,0.13336,0.06934,332697.3921,332697.4519,2,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,q,113,0.06984,0.42782,0.36808,332697.82,332697.8898,3,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,u,117,0.05965,0.24366,0.17381,332698.0636,332698.1233,4,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,i,105,0.06389,0.18,0.12035,332698.2436,332698.3075,5,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,c,99,0.07939,0.27861,0.21472,332698.5222,332698.6016,6,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,k,107,0.05433,0.20846,0.12907,332698.7307,332698.785,7,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,b,98,0.06482,0.45308,0.39875,332699.1838,332699.2486,8,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,r,114,0.06012,0.18351,0.1187,332699.3673,332699.4274,9,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,o,111,0.06456,0.209,0.14888,332699.5763,332699.6408,10,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,w,119,0.06929,0.22429,0.15972,332699.8006,332699.8699,11,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,n,110,0.05425,0.16899,0.0997,332699.9696,332700.0238,12,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,f,102,0.06451,0.35855,0.3043,332700.3281,332700.3926,13,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,o,111,0.06465,0.16888,0.10437,332700.497,332700.5616,14,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
harshith,x,120,0.07009,0.26842,0.20377,332700.7654,332700.8355,15,1eed8649-b3b7-49c1-88ab-53840e5db3be,56.86
